Table 15. Canonical Hash Values of Higher-Order Incidence Bipartite Graph for APN Functions over F2^6,,
Field,APN Function,Canonical Hash
F2^6,1,[N324c3b40 30a241c7 63057d23]
F2^6,2,[N109ef325 6d79e114 2b57ea6e]
F2^6,3,[N518aa12c 710d0345 5e02e1e6]
F2^6,4,[N13bb27c3 1343da5f 1654b24d]
F2^6,5,[N5c62976c 5c745247 696964b]
F2^6,6,[N1d82e669 53effbf6 5817c915]
F2^6,7,[N684bc984 67d70535 239fb4ab]
F2^6,8,[N417a49de 469e3a89 4de8cf2f]
F2^6,9,[N199f42f8 39335588 614c6764]
F2^6,10,[N3db5a550 7ff06ef0 3a09afed]
F2^6,11,[N52277ee 1ab58597 386ac6af]
F2^6,12,[N4b4b075e 2847a5a0 42f9ef75]
F2^6,13,[N1b2aecdc 64cc90d9 70ca2ff4]
