Table 16. Canonical Hash Values of Higher-Order Incidence Bipartite Graph for APN Functions over F2^7,,
Field,APN Function,Canonical Hash
F2^7,1,[N6e59318d 3ce28219 17068297]
F2^7,2,[N1b592a5c 1d7849a6 5ef4c249]
F2^7,3,[Nd170f62 36068485 7d95e491]
F2^7,4,[N186eb61f 4e41003d 699f4cc5]
F2^7,5,[N7571122e 23e26199 99c67fc]
F2^7,6,[N4ae2ed87 64eb8e5a b301a2e]
F2^7,7,[N2db4f716 666df12b 3b46cefe]
F2^7,8,[N2bc11704 1821da77 7759cc40]
F2^7,9,[N6be1769a 7b4363d0 30a229fc]
F2^7,10,[N42f452ef 57309177 67aac787]
F2^7,11,[N32fd817f 54645221 f19c545]
F2^7,12,[N6ea51f64 7bfb5a46 35d6058f]
F2^7,13,[N344e704b 2937b5a5 46791147]
F2^7,14,[N319df578 58db53ea 3573a1cd]
F2^7,15,[N732f6f27 128acf14 171d627e]
F2^7,16,[N647577cd 4e5d3395 6706103]
F2^7,17,[N1ced0ab6 7b67bf94 1892f4f2]
F2^7,18,[N2f701eaa 61af104 14f80e5a]
