Table 12. Canonical Hash Values of Incidence Bipartite Graphs for APN Functions over F2^9,,,,
Field,APN Function,Canonical Hash,Γ-rank,Aut(Cef)
F2^9,1,[N5bf9909 16a22e75 35a5f9c3],38470,2^9，3^2，7，73
F2^9,2,[N9364f4e a58f10f e72c022],38470,2^9，3^2，7，73
