Table 5. Canonical Hash Values of Minimum Weight Codeword Subgraphs for Some APN Functions over F2^7,,
Field,APN Function,Canonical Hash Value
F2^7,1,[N1e2e6ba9 26d4877 6b23b685]
F2^7,2,[N1deda0d4 5a58192d cf3feb]
F2^7,3,[N168f9fa3 5f727f76 6ee83aaa]
F2^7,4,[Ne90b651 5d457e79 22b54718]
F2^7,5,[N4e350db4 2f874acb 607ca12d]
F2^7,6,[N2af3779 718db646 785076dc]
F2^7,7,[N6e43b9cd 3ea36931 267d125c]
F2^7,8,[N7ef585e1 3af90713 4e2d7ae]
F2^7,9,[N4aeb9971 2977a505 3d0f95ac]
F2^7,10,[N4e42deac 2363d753 4339ddf1]
F2^7,11,[N72c2e713 65002b5 13fb3204]
F2^7,12,[N21c88be9 726e10ea 52daa3c6]
F2^7,13,[N7b09cba1 ae3b3e0 2c6a7a8e]
F2^7,14,[N2a50b32a 5877e60 6e8c5ee5]
F2^7,15,[N51f1889f 32c9d1c7 2c3f1890]
F2^7,16,[N3443283 2b346d4c 284d4dfa]
F2^7,17,[N3231456e 2c4a76d8 40286984]
F2^7,18,[N4cedd7f6 359b16db 4f7a429b]
