Table 7. Canonical Hash Values of Minimum Weight Codeword Subgraphs for Some APN Functions over F2^9,,
Field,APN Function,Canonical Hash Value
F2^9,1,[N5db7367d 53afbf47 7e87ef44]
F2^9,2,[N5c292c6 3398f06d 1b6ed818]
